,date,no2,o3,pm2.5,pm10,AQI_PM25,AQI_PM10,AQI_NO2,AQI_O3,AQI_day_max
0,2015-01-01,44.71269633507854,1.4358965848545725e-05,54.7,65.4,148,156,42,0,156
1,2015-01-02,65.57171727748691,1.646160581710193e-05,27.942,46.8,84,129,63,0,129
2,2015-01-03,54.262183246073306,1.4783850117914227e-05,26.9,30.6,82,90,51,0,90
3,2015-01-04,61.853356020942414,7.320913776198221e-06,34.781,45.6,99,126,58,0,126
4,2015-01-05,78.031,1.2060223600314438e-05,28.6,43.5,86,121,77,0,121
5,2015-01-06,65.43003141361257,1.4881902349550178e-05,48.8,54.0,134,147,63,0,147
6,2015-01-07,84.50271204188482,1.5295892654380296e-05,22.058,33.1,72,95,83,0,95
7,2015-01-08,82.26378534031414,1.542662677963141e-05,24.79,46.7,77,129,81,0,129
8,2015-01-09,73.86505759162303,1.7856103153113807e-05,25.669,45.1,79,125,71,0,125
9,2015-01-10,56.12611518324607,1.7311376539435757e-05,15.128,25.7,57,79,53,0,79
10,2015-01-11,66.63135078534032,1.6123875447637348e-05,20.203,40.2,68,113,64,0,113
11,2015-01-12,78.33289528795811,1.9414018691588785e-05,20.67,30.3,69,89,77,0,89
12,2015-01-13,97.26915183246074,1.671218010306577e-05,27.592,42.0,83,117,97,0,117
13,2015-01-14,87.47885340314136,1.6922805485195214e-05,20.67,33.5,69,96,86,0,96
14,2015-01-15,99.68730890052356,1.983890296095729e-05,25.838,44.1,80,122,99,0,122
15,2015-01-16,95.73489528795811,1.6487025067691504e-05,27.008,38.0,82,107,95,0,107
16,2015-01-17,75.51621465968587,1.3160568608612105e-05,26.7,55.0,81,149,73,0,149
17,2015-01-18,58.634895287958116,1.1330290855096514e-05,41.7,46.3,116,127,55,0,127
18,2015-01-19,79.73623036649215,1.0633042187090574e-05,67.1,80.1,157,164,78,0,164
19,2015-01-20,95.20394764397906,1.2811944274609137e-05,72.7,91.5,160,170,95,0,170
20,2015-01-21,71.62312565445026,1.3480140186915886e-05,40.7,50.6,114,138,69,0,138
21,2015-01-22,49.31546596858639,7.319746560344669e-06,56.5,61.2,152,154,46,0,154
22,2015-01-23,95.40320942408378,1.0600358109878592e-05,71.1,92.7,159,170,95,0,170
23,2015-01-24,63.67223036649215,1.5045318368416454e-05,31.3,46.1,91,127,61,0,127
24,2015-01-25,66.80758115183247,1.2092907677526421e-05,26.952,64.0,82,155,64,0,155
25,2015-01-26,63.60964921465968,1.507800244562844e-05,18.6,24.7,65,77,61,0,77
26,2015-01-27,62.67542931937173,1.4141075639793867e-05,29.3,32.3,87,93,60,0,93
27,2015-01-28,75.07263350785341,1.908718228666259e-05,20.53,75.2,69,161,73,0,161
28,2015-01-29,82.21547120418849,1.5110686522840424e-05,24.422,55.1,77,149,81,0,149
29,2015-01-30,63.67072774869111,1.4010341514542755e-05,21.406,55.6,71,151,61,0,151
30,2015-01-31,53.37043455497382,1.3803345270329286e-05,19.071,57.2,66,152,50,0,152
31,2015-02-01,47.449277486910994,1.6221925495676477e-05,17.2,25.4,62,79,44,0,79
32,2015-02-02,59.09850261780105,1.0894510437592804e-05,26.3,32.5,81,94,56,0,94
33,2015-02-03,65.72566492146596,1.4053919556293126e-05,25.6,28.0,79,84,63,0,84
34,2015-02-04,63.88375916230366,1.1962173552275309e-05,26.2,26.7,80,81,61,0,81
35,2015-02-05,46.9413612565445,1.2071117564852825e-05,20.2,21.9,68,71,43,0,71
36,2015-02-06,38.074020942408374,1.2387057821643812e-05,17.799368421052634,21.4,63,70,36,0,70
37,2015-02-07,43.404235602094246,1.2136485719276791e-05,25.103,34.5,78,98,41,0,98
38,2015-02-08,66.17024607329843,1.6254609572888464e-05,48.2,54.0,132,147,64,0,147
39,2015-02-09,52.64531937172775,1.1145084723556644e-05,43.051,53.519,119,145,49,0,145
40,2015-02-10,72.68576439790577,1.1646231111887501e-05,48.535,60.092,133,153,70,0,153
41,2015-02-11,61.23329319371728,1.2114695606603196e-05,43.396,60.0,120,153,58,0,153
42,2015-02-12,79.22731413612566,7.318384808515524e-06,58.477,81.4,152,164,78,0,164
43,2015-02-13,81.6121832460733,1.606940344134859e-05,55.9,64.8,151,156,80,0,156
44,2015-02-14,55.56187958115183,1.6930070311817626e-05,27.9,32.3,84,93,52,0,93
45,2015-02-15,70.16997382198953,1.1297606777884531e-05,57.3,71.6,152,159,68,0,159
46,2015-02-16,69.44427748691099,1.1013479343174077e-05,45.439,52.3,125,142,67,0,142
47,2015-02-17,87.92518324607329,1.329130273386322e-05,55.7,51.5,151,140,86,0,151
48,2015-02-18,83.34519895287958,1.3944973360118787e-05,28.12,52.3,85,142,82,0,142
49,2015-02-19,70.66312041884817,1.4969058433050921e-05,26.563,40.9,81,114,68,0,114
50,2015-02-20,59.56686387434556,1.4162863568870643e-05,25.1,38.4,78,108,56,0,108
51,2015-02-21,59.26447120418848,1.5219630535417943e-05,22.75884210526316,32.1,73,93,56,0,93
52,2015-02-22,63.603643979057594,1.7529266748187616e-05,23.089473684210528,37.3,74,105,61,0,105
53,2015-02-23,92.2378219895288,1.8709505196960434e-05,23.420105263157893,38.0,75,107,91,0,107
54,2015-02-24,83.55247120418848,1.7111645121844704e-05,23.750736842105262,42.5,75,118,82,0,118
55,2015-02-25,88.26187434554974,1.4494383788977202e-05,27.244,44.8,83,124,87,0,124
56,2015-02-26,83.6786335078534,1.4814354965499168e-05,24.412,34.8,77,99,82,0,99
57,2015-02-27,95.6960942408377,1.5448416892305005e-05,31.622,50.8,92,138,95,0,138
58,2015-02-28,66.05559685863875,1.7725369027862695e-05,25.073263157894736,30.9,78,90,64,0,90
59,2015-03-01,70.60854973821989,1.8400827583195038e-05,25.403894736842105,39.9,79,112,68,0,112
60,2015-03-02,98.67974345549739,1.7039014324395142e-05,25.734526315789473,50.3,80,137,98,0,137
61,2015-03-03,111.87724607329844,1.6657705913180188e-05,26.065157894736842,32.5,80,94,103,0,103
62,2015-03-04,83.66311518324608,1.5807935190846363e-05,26.39578947368421,34.095,81,97,82,0,97
63,2015-03-05,85.73431937172776,1.6799336186566513e-05,28.217,52.4,85,142,84,0,142
64,2015-03-06,96.56673298429321,1.781252511136344e-05,28.412,57.0,85,152,96,0,152
65,2015-03-07,84.57956020942409,1.7572844789937986e-05,38.531,48.1,108,132,83,0,132
66,2015-03-08,80.0771780104712,1.6309081579177223e-05,27.718315789473685,35.2,84,100,79,0,100
67,2015-03-09,87.99327225130891,1.540483885055463e-05,28.048947368421054,43.9,84,121,86,0,121
68,2015-03-10,68.75862827225131,1.5790394357585815e-05,28.379578947368422,45.333,85,125,66,0,125
69,2015-03-11,91.40949214659686,1.6080297405886978e-05,70.4,73.3,159,160,90,0,160
70,2015-03-12,97.31395811518325,1.5568254869420908e-05,70.0,71.1,158,159,97,0,159
71,2015-03-13,81.47174869109948,1.5862407197135123e-05,45.9,52.7,126,143,80,0,143
72,2015-03-14,32.10171204188482,1.610208751856057e-05,33.6,45.7,96,126,30,0,126
73,2015-03-15,29.23471727748691,1.3538245698314263e-05,36.7,44.5,104,123,27,0,123
74,2015-03-16,66.384277486911,8.783917809415669e-06,57.6,67.5,152,157,64,0,157
75,2015-03-17,53.06661780104712,7.3162449127840135e-06,89.4,90.9,169,169,50,0,169
76,2015-03-18,39.04653926701571,1.5274104725303523e-05,64.549,68.8,156,158,37,0,158
77,2015-03-19,45.46943979057592,1.763458162284916e-05,47.6,60.2,131,153,42,0,153
78,2015-03-20,106.60985863874346,1.914165429295135e-05,63.926,80.7,155,164,102,0,164
79,2015-03-21,31.412560209424086,1.6385343698139576e-05,17.4,24.1,62,76,29,0,76
80,2015-03-22,61.64458115183247,1.6574181151192243e-05,17.806,48.9,63,134,58,0,134
81,2015-03-23,88.06586910994766,1.735495458118613e-05,34.8,43.9,99,121,87,0,121
82,2015-03-24,83.64684293193717,1.434175255480828e-05,24.8,33.2,78,95,82,0,95
83,2015-03-25,80.05539790575916,1.538304873788104e-05,41.839,55.8,117,151,79,0,151
84,2015-03-26,79.8616439790576,1.737260459428771e-05,22.3,31.9,72,92,78,0,92
85,2015-03-27,108.71135602094242,1.816114944536641e-05,27.633,38.4,84,108,102,0,108
86,2015-03-28,58.04012041884817,1.68102301511049e-05,19.46,30.0,66,89,55,0,89
87,2015-03-29,52.11587434554974,1.8858398113372345e-05,13.914,25.2,55,78,49,0,78
88,2015-03-30,96.643832460733,1.7218447025941132e-05,21.406,35.4,71,100,96,0,100
89,2015-03-31,38.27703664921466,1.8738994672023758e-05,11.5,24.4,48,77,36,0,77
90,2015-04-01,81.513554973822,1.670491527644336e-05,19.849,33.3,67,95,80,0,95
91,2015-04-02,73.56090575916231,1.5502779718752734e-05,22.282,37.0,72,105,71,0,105
92,2015-04-03,50.062439790575915,1.2463319940606166e-05,24.389,29.8,77,88,47,0,88
93,2015-04-04,37.67574869109948,1.4075707485369903e-05,28.6,32.9,86,95,35,0,95
94,2015-04-05,55.378638743455504,1.7049908288933532e-05,24.2,29.5,76,88,52,0,88
95,2015-04-06,60.513350785340315,1.7137064372434275e-05,34.9,40.4,99,113,57,0,113
96,2015-04-07,76.06693193717277,1.715678443532186e-05,39.212,76.4,110,162,74,0,162
97,2015-04-08,79.56726178010472,1.572077910734562e-05,69.4,86.4,158,167,78,0,167
98,2015-04-09,94.49827748691101,1.730070093457944e-05,67.787,78.1,157,163,94,0,163
99,2015-04-10,98.35356544502618,2.3477670538911694e-05,75.1,93.8,161,171,98,0,171
100,2015-04-11,73.22521989528796,2.014394925320989e-05,23.7,34.0,75,97,71,0,97
101,2015-04-12,69.11635078534032,2.025943095466853e-05,17.4,38.4,62,108,67,0,108
102,2015-04-13,79.62533507853404,1.6646811948641805e-05,25.1,36.7,78,104,78,0,104
103,2015-04-14,94.52055497382199,2.133145252860512e-05,30.8,40.7,90,114,94,0,114
104,2015-04-15,111.92255497382199,2.316684863306839e-05,37.6,51.7,106,141,103,0,141
105,2015-04-16,79.0368167539267,1.6832018080181677e-05,26.1,36.4,80,103,78,0,103
106,2015-04-17,64.30480628272252,1.8214859376364747e-05,11.4,23.7,48,75,62,0,75
107,2015-04-18,57.568000000000005,2.0413479343174077e-05,13.3,28.2,54,85,54,0,85
108,2015-04-19,41.05541884816754,1.909840379072408e-05,15.429,29.9,58,88,39,0,88
109,2015-04-20,83.75523560209425,2.4112057821643814e-05,28.013,37.7,84,106,82,0,106
110,2015-04-21,82.89610994764398,2.3177089702157396e-05,22.1,39.6,72,111,81,0,111
111,2015-04-22,87.4255340314136,1.8091641191370425e-05,20.1,29.5,68,88,86,0,88
112,2015-04-23,100.01023036649215,1.833829373744432e-05,29.9,40.6,88,114,100,0,114
113,2015-04-24,117.27930890052356,1.9893377150842872e-05,65.6,86.5,156,167,104,0,167
114,2015-04-25,78.12962827225131,1.843351166040702e-05,25.6,32.2,79,93,77,0,93
115,2015-04-26,58.27684816753927,1.631442047340379e-05,19.5,24.9,67,78,55,0,78
116,2015-04-27,76.62466492146596,1.2550476024106909e-05,17.8,36.9,63,104,74,0,104
117,2015-04-28,76.07394240837696,1.5753463184557603e-05,19.2,31.9,66,92,74,0,92
118,2015-04-29,100.29961256544503,1.728958861035898e-05,24.1,35.9,76,102,100,0,102
119,2015-04-30,96.20675916230367,1.6838337409380733e-05,18.3,30.0,64,89,96,0,96
120,2015-05-01,71.98810471204189,1.7762846100096077e-05,15.9,26.4,59,81,69,0,81
121,2015-05-02,57.381759162303666,1.647249978164032e-05,26.4,40.2,81,113,54,0,113
122,2015-05-03,56.39338219895288,1.9261494453664076e-05,27.5,39.5,83,111,53,0,111
123,2015-05-04,60.417476439790576,1.9555646781378287e-05,15.7,25.2,58,78,57,0,78
124,2015-05-05,81.08374345549738,1.9936955192593238e-05,17.5,45.6,62,126,80,0,126
125,2015-05-06,79.2105445026178,1.846256441610621e-05,21.1,195.985,70,246,78,0,246
126,2015-05-07,110.35325130890052,1.894446458205957e-05,20.4,33.4,68,96,103,0,103
127,2015-05-08,107.59464921465968,1.715885448510787e-05,24.3,34.5,77,98,102,0,102
128,2015-05-09,72.19987958115183,2.2148539173726962e-05,21.0,33.6,70,96,70,0,96
129,2015-05-10,74.01274869109947,2.017717922962704e-05,19.5,33.7,67,96,72,0,96
130,2015-05-11,87.54293717277487,1.69e-05,27.7,38.2,84,108,86,0,108
131,2015-05-12,93.88121989528796,1.999229845401345e-05,18.6,33.4,65,96,93,0,96
132,2015-05-13,66.72947643979057,2.0567636911520657e-05,16.9,33.5,61,96,64,0,96
133,2015-05-14,80.60386387434556,1.3944973360118787e-05,17.0,28.0,61,84,79,0,84
134,2015-05-15,84.61210471204188,1.77936763036073e-05,22.1,40.3,72,113,83,0,113
135,2015-05-16,47.69484816753927,2.175633679797362e-05,16.2,26.7,59,81,44,0,81
136,2015-05-17,57.78703664921466,1.942720106559525e-05,18.0,27.3,63,83,54,0,83
137,2015-05-18,74.74370680628273,1.8139359332692813e-05,19.9,31.5,67,92,72,0,92
138,2015-05-19,81.16309424083771,1.635265962092759e-05,18.7,24.9,65,78,80,0,80
139,2015-05-20,67.23589005235601,1.650943313826535e-05,17.4,26.7,62,81,65,0,81
140,2015-05-21,94.6842722513089,2.1790219669840162e-05,31.2,36.2,91,103,94,0,103
141,2015-05-22,83.10789005235603,1.4195547646082626e-05,26.8,36.7,82,104,82,0,104
142,2015-05-23,49.89396858638743,1.7660000873438725e-05,18.3,26.5,64,81,46,0,81
143,2015-05-24,51.79871204188482,1.584061926805835e-05,19.2,55.097,66,149,48,0,149
144,2015-05-25,29.33234554973822,1.8520667743907763e-05,15.9,28.77,59,86,27,0,86
145,2015-05-26,35.446335078534034,1.824830552886715e-05,13.425,46.043,54,127,33,0,127
146,2015-05-27,113.76320942408378,2.078672591492707e-05,53.2,49.116,145,134,103,0,145
