date,no2,o3,pm2.5,pm10,AQI_PM25,AQI_PM10,AQI_NO2,AQI_O3,AQI_day_max,value
2015-01-01,44.71269633507854,0.03072818691588785,54.7,65.4,148,156,42,25,156,0.0
2015-01-02,65.57171727748691,0.03522783644859813,27.942,46.8,84,129,63,30,129,0.0
2015-01-03,54.262183246073306,0.03163743925233645,26.9,30.6,82,90,51,26,90,0.0
2015-01-04,61.853356020942414,0.015666755481064193,34.781,45.6,99,126,58,13,126,0.0
2015-01-05,78.031,0.025808878504672898,28.6,43.5,86,121,77,21,121,0.0
2015-01-06,65.43003141361257,0.03184727102803738,48.8,54.0,134,147,63,26,147,0.0
2015-01-07,84.50271204188482,0.032733210280373834,22.058,33.1,72,95,83,27,95,0.0
2015-01-08,82.26378534031414,0.03301298130841122,24.79,46.7,77,129,81,28,129,0.0
2015-01-09,73.86505759162303,0.03821206074766355,25.669,45.1,79,125,71,32,125,0.0
2015-01-10,56.12611518324607,0.03704634579439252,15.128,25.7,57,79,53,31,79,0.0
2015-01-11,66.63135078534032,0.034505093457943926,20.203,40.2,68,113,64,29,113,0.0
2015-01-12,78.33289528795811,0.041546,20.67,30.3,69,89,77,35,89,0.0
2015-01-13,97.26915183246074,0.03576406542056075,27.592,42.0,83,117,97,30,117,0.0
2015-01-14,87.47885340314136,0.03621480373831776,20.67,33.5,69,96,86,31,96,0.0
2015-01-15,99.68730890052356,0.0424552523364486,25.838,44.1,80,122,99,36,122,0.0
2015-01-16,95.73489528795811,0.035282233644859815,27.008,38.0,82,107,95,30,107,0.0
2015-01-17,75.51621465968587,0.028163616822429904,26.7,55.0,81,149,73,24,149,0.0
2015-01-18,58.634895287958116,0.024246822429906542,41.7,46.3,116,127,55,20,127,0.0
2015-01-19,79.73623036649215,0.02275471028037383,67.1,80.1,157,164,78,19,164,0.0
2015-01-20,95.20394764397906,0.027417560747663553,72.7,91.5,160,170,95,23,170,0.0
2015-01-21,71.62312565445026,0.028847499999999998,40.7,50.6,114,138,69,24,138,0.0
2015-01-22,49.31546596858639,0.01566425763913759,56.5,61.2,152,154,46,13,154,0.0
2015-01-23,95.40320942408378,0.022684766355140187,71.1,92.7,159,170,95,19,170,0.0
2015-01-24,63.67223036649215,0.03219698130841121,31.3,46.1,91,127,61,27,127,0.0
2015-01-25,66.80758115183247,0.02587882242990654,26.952,64.0,82,155,64,21,155,0.0
2015-01-26,63.60964921465968,0.03226692523364486,18.6,24.7,65,77,61,27,77,0.0
2015-01-27,62.67542931937173,0.030261901869158878,29.3,32.3,87,93,60,25,93,0.0
